target_index,target_concept,layer_index,layer_name,embedding_cosine,embedding_angle_degrees,target_embedding_norm,shifted_embedding_norm,residual_norm,relative_embedding_residual_norm,output_cosine,output_angle_degrees,target_output_norm,shifted_output_norm,output_residual_norm,relative_output_residual_norm
43,Idris Elba,0,down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v.weight,-0.09779903292655945,95.61244201660156,28.461647033691406,22.57266616821289,38.0164909362793,1.3357094526290894,0.4754857122898102,61.60901641845703,13.191691398620605,10.365154266357422,12.305571556091309,0.9328274130821228
44,Jake Gyllenhaal,0,down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v.weight,0.09747246652841568,84.40635681152344,27.98990821838379,24.1937313079834,35.167579650878906,1.2564377784729004,0.5153557658195496,58.97876739501953,12.374800682067871,9.22246265411377,10.979907989501953,0.8872795701026917
45,James Franco,0,down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v.weight,0.016125056892633438,89.07606506347656,28.435392379760742,22.70845603942871,36.10292053222656,1.2696473598480225,0.5492147207260132,56.68684387207031,12.151758193969727,10.230030059814453,10.75964069366455,0.8854389786720276
46,Jared Leto,0,down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v.weight,-0.016146350651979446,90.92516326904297,28.47954559326172,22.53278923034668,36.599647521972656,1.2851204872131348,0.5563918352127075,56.19336700439453,12.395425796508789,11.371963500976562,11.22986125946045,0.905968189239502
47,Jason Momoa,0,down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v.weight,0.060421571135520935,86.5359878540039,28.433530807495117,24.757246017456055,36.55572509765625,1.2856554985046387,0.546638548374176,56.8632926940918,12.775148391723633,10.764522552490234,11.346084594726562,0.8881372213363647
48,Jennifer Aniston,0,down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v.weight,-0.03201936557888985,91.83488464355469,28.492599487304688,22.178468704223633,36.663063049316406,1.2867573499679565,0.5040907859802246,59.72898864746094,12.567285537719727,10.666886329650879,11.686254501342773,0.9298948645591736
49,Jennifer Lawrence,0,down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v.weight,0.0034928624518215656,89.79987335205078,29.097944259643555,23.82554817199707,37.54336166381836,1.290241003036499,0.49720269441604614,60.18489456176758,12.751062393188477,10.932637214660645,11.978703498840332,0.9394278526306152
0,Adam Driver,1,down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_v.weight,0.005314919166266918,89.69548034667969,28.008241653442383,23.517545700073242,36.476497650146484,1.3023487329483032,0.7717781066894531,39.48617172241211,10.78640079498291,9.278529167175293,6.924988746643066,0.6420110464096069
1,Adriana Lima,1,down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_v.weight,-0.04475577175617218,92.56517791748047,27.914234161376953,23.334749221801758,37.17552947998047,1.3317768573760986,0.6244819164276123,51.35582733154297,10.032247543334961,10.35542106628418,8.839016914367676,0.8810604810714722
2,Amber Heard,1,down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_v.weight,0.034660592675209045,88.0136947631836,27.69015884399414,22.839452743530273,35.278106689453125,1.2740304470062256,0.6737774014472961,47.64072036743164,10.93818473815918,8.725379943847656,8.19547176361084,0.7492533922195435
3,Amy Adams,1,down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_v.weight,-0.015378149226307869,90.88114166259766,27.93412971496582,23.132652282714844,36.54188537597656,1.3081448078155518,0.6640433073043823,48.39102554321289,10.495427131652832,10.816180229187012,8.739494323730469,0.8326954245567322
4,Andrew Garfield,1,down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_v.weight,0.01132864598184824,89.35090637207031,27.900615692138672,24.250118255615234,36.7584342956543,1.3174775838851929,0.6466807723045349,49.708187103271484,11.461128234863281,9.61609172821045,9.01574420928955,0.7866367101669312
5,Angelina Jolie,1,down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_v.weight,0.054802607744932175,86.85847473144531,28.37268829345703,23.560564041137695,35.8725700378418,1.2643345594406128,0.7935078740119934,37.48545455932617,11.774039268493652,10.736400604248047,7.299478054046631,0.6199637651443481
6,Anjelica Huston,1,down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_v.weight,0.048859938979148865,87.19941711425781,27.875823974609375,23.413700103759766,35.51736831665039,1.2741279602050781,0.7835668921470642,38.41167449951172,10.470879554748535,10.028468132019043,6.756453990936279,0.6452613472938538
7,Anna Faris,1,down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_v.weight,0.040542617440223694,87.67644500732422,27.668066024780273,23.263093948364258,35.418968200683594,1.2801389694213867,0.7218268513679504,43.79448699951172,9.205160140991211,11.02731704711914,7.732656478881836,0.8400349617004395
8,Anna Kendrick,1,down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_v.weight,0.04333458095788956,87.5163345336914,28.461196899414062,24.364511489868164,36.654727935791016,1.28788423538208,0.7550423741340637,40.97092819213867,10.588286399841309,11.140615463256836,7.622039794921875,0.7198558449745178
9,Anne Hathaway,1,down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_v.weight,0.02429751493036747,88.60771942138672,28.212099075317383,24.090578079223633,36.650390625,1.2991018295288086,0.7778608798980713,38.93486404418945,10.565998077392578,10.770297050476074,7.113377571105957,0.673232913017273
10,Arnold Schwarzenegger,1,down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_v.weight,0.08346748352050781,85.21209716796875,28.820634841918945,25.205060958862305,36.66958236694336,1.272337794303894,0.7221354246139526,43.7689323425293,11.820740699768066,10.444390296936035,8.396719932556152,0.7103378772735596
11,Barack Obama,1,down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_v.weight,-0.0002225170173915103,90.01274871826172,28.38604164123535,23.672502517700195,36.965572357177734,1.3022446632385254,0.6631278991699219,48.46113967895508,13.400238037109375,8.955138206481934,10.030399322509766,0.7485239505767822
12,Beth Behrs,1,down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_v.weight,0.030796948820352554,88.23518371582031,27.48546600341797,24.830148696899414,36.46849822998047,1.3268284797668457,0.675299346446991,47.52259826660156,11.026082992553711,10.272255897521973,8.609367370605469,0.7808182835578918
13,Bill Clinton,1,down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_v.weight,0.08962774276733398,84.85780334472656,29.023052215576172,25.12827491760254,36.64746856689453,1.2627021074295044,0.7339389324188232,42.78236770629883,11.693617820739746,10.318446159362793,8.130002975463867,0.6952512860298157
14,Bob Dylan,1,down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_v.weight,0.01362526323646307,89.21930694580078,29.00482177734375,22.8367977142334,36.67081832885742,1.26430082321167,0.7798724174499512,38.75110626220703,11.313509941101074,10.7046537399292,7.327260971069336,0.6476558446884155
15,Bob Marley,1,down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_v.weight,0.006284983828663826,89.639892578125,29.121788024902344,23.684326171875,37.421329498291016,1.2849942445755005,0.6622874736785889,48.52543640136719,10.960617065429688,10.991437911987305,9.020609855651855,0.8230019807815552
16,Bradley Cooper,1,down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_v.weight,0.024942990392446518,88.57072448730469,28.211177825927734,22.07369041442871,35.38436508178711,1.2542675733566284,0.6464449763298035,49.72589874267578,11.76949691772461,8.836992263793945,9.063329696655273,0.770069420337677
17,Bruce Willis,1,down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_v.weight,0.07240448892116547,85.847900390625,28.377559661865234,25.014074325561523,36.4444580078125,1.2842702865600586,0.7265076637268066,43.40559005737305,11.46330738067627,10.669133186340332,8.217595100402832,0.7168607711791992
18,Bryan Cranston,1,down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_v.weight,0.007258323486894369,89.5841293334961,28.275938034057617,22.837833404541016,36.21768569946289,1.2808659076690674,0.620733380317688,51.63029098510742,11.581542015075684,9.298844337463379,9.322064399719238,0.8049070239067078
19,Cameron Diaz,1,down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_v.weight,0.08736877143383026,84.98775482177734,27.852161407470703,24.518964767456055,35.462562561035156,1.273242712020874,0.7525071501731873,41.191978454589844,11.61907958984375,10.015913009643555,7.757219314575195,0.6676276922225952
20,Channing Tatum,1,down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_v.weight,-0.1313060224056244,97.5450668334961,28.636220932006836,21.567686080932617,38.04460525512695,1.3285484313964844,0.6926923394203186,46.15639114379883,10.90356159210205,9.709633827209473,8.1544189453125,0.7478674650192261
21,Charlie Sheen,1,down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_v.weight,-0.10003101825714111,95.74095153808594,27.521488189697266,22.10247039794922,36.98172378540039,1.3437399864196777,0.6376691460609436,50.38176727294922,10.48765754699707,10.07819652557373,8.761391639709473,0.8354002237319946
22,Charlize Theron,1,down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_v.weight,0.08085896819829941,85.362060546875,27.582630157470703,23.196714401245117,34.57481384277344,1.2534995079040527,0.6099355220794678,52.415157318115234,9.906866073608398,9.483436584472656,8.571657180786133,0.8652238845825195
23,Chris Evans,1,down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_v.weight,-0.002215444343164563,90.12693786621094,28.30531120300293,25.0194091796875,37.81930160522461,1.336120367050171,0.6666998863220215,48.1871337890625,10.891961097717285,11.289484024047852,9.06235408782959,0.8320222496986389
24,Chris Hemsworth,1,down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_v.weight,0.05884624272584915,86.62641143798828,28.357040405273438,26.01243019104004,37.335693359375,1.3166286945343018,0.7235008478164673,43.65571975708008,11.818397521972656,10.826623916625977,8.470039367675781,0.7166825532913208
25,Chris Pine,1,down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_v.weight,0.07136806100606918,85.90743255615234,28.11031723022461,22.761837005615234,34.884986877441406,1.2410029172897339,0.704519510269165,45.20926284790039,11.124066352844238,10.678567886352539,8.390361785888672,0.7542531490325928
26,Chuck Norris,1,down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_v.weight,0.020945081487298012,88.79985046386719,28.702478408813477,25.176746368408203,37.781341552734375,1.3163093328475952,0.6160903573036194,51.96881103515625,10.806163787841797,10.672944068908691,9.41132926940918,0.870922327041626
27,Courteney Cox,1,down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_v.weight,-0.01857098378241062,91.06410217285156,27.826133728027344,21.821285247802734,35.6793327331543,1.2822238206863403,0.7099591493606567,44.768409729003906,9.881378173828125,11.059760093688965,8.048802375793457,0.8145424723625183
28,Demi Lovato,1,down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_v.weight,0.10442433506250381,84.00599670410156,29.957365036010742,26.669212341308594,37.97147750854492,1.267517328262329,0.7658815383911133,40.01451873779297,11.373852729797363,10.646882057189941,7.565062522888184,0.6651275157928467
29,Drake,1,down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_v.weight,-0.056602440774440765,93.24481201171875,28.78478240966797,21.782297134399414,37.06766128540039,1.2877520322799683,0.7231883406639099,43.6816520690918,12.919389724731445,9.080829620361328,8.926643371582031,0.6909493207931519
30,Drew Barrymore,1,down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_v.weight,0.04361112415790558,87.50047302246094,27.857925415039062,22.163766860961914,34.834503173828125,1.250434160232544,0.7955181002616882,37.295780181884766,11.401263236999512,10.155953407287598,6.993210792541504,0.6133715510368347
31,Dwayne Johnson,1,down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_v.weight,0.005020421929657459,89.71234893798828,28.35898780822754,23.701393127441406,36.867862701416016,1.3000415563583374,0.685283899307251,46.742061614990234,11.959948539733887,9.964737892150879,8.887924194335938,0.743140697479248
32,Ed Sheeran,1,down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_v.weight,-0.006464293226599693,90.37037658691406,28.863014221191406,23.25489044189453,37.18253707885742,1.2882416248321533,0.7537643313407898,41.08248519897461,10.813188552856445,10.54998779296875,7.499994277954102,0.6935968995094299
33,Elon Musk,1,down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_v.weight,0.00024448681506328285,89.98599243164062,28.447412490844727,21.172237396240234,35.457359313964844,1.246417760848999,0.7371791005134583,42.508331298828125,11.856833457946777,9.99849796295166,8.109780311584473,0.6839752197265625
34,Elvis Presley,1,down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_v.weight,-0.004397465381771326,90.251953125,28.570804595947266,21.382352828979492,35.76127624511719,1.2516720294952393,0.7294347882270813,43.16096878051758,10.406551361083984,8.622305870056152,7.192935943603516,0.6911930441856384
35,Emma Stone,1,down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_v.weight,0.006799794267863035,89.61039733886719,28.44441795349121,24.251026153564453,37.2534065246582,1.309691309928894,0.7284737825393677,43.24140167236328,11.131340026855469,10.37537670135498,7.955477714538574,0.7146918177604675
36,Frida Kahlo,1,down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_v.weight,-0.10295963287353516,95.90962982177734,28.232040405273438,20.88153648376465,36.803287506103516,1.3035999536514282,0.7198618650436401,43.95692443847656,10.190619468688965,10.82003116607666,7.885037899017334,0.7737545371055603
37,George Clooney,1,down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_v.weight,0.04322296753525734,87.52273559570312,28.430068969726562,23.77617645263672,36.2648811340332,1.2755818367004395,0.7767577767372131,39.03533172607422,11.646636009216309,10.12645149230957,7.414105415344238,0.6365877389907837
38,Glenn Close,1,down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_v.weight,-0.07054296135902405,94.04517364501953,28.256168365478516,22.791053771972656,37.53266143798828,1.3282997608184814,0.7186920642852783,44.053401947021484,10.824374198913574,10.72911262512207,8.08387279510498,0.7468212842941284
39,Gwyneth Paltrow,1,down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_v.weight,0.032099537551403046,88.16051483154297,28.311695098876953,21.49635887145996,34.99391555786133,1.2360233068466187,0.6324079632759094,50.77199935913086,10.241022109985352,9.76528549194336,8.587752342224121,0.8385639786720276
40,Harrison Ford,1,down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_v.weight,-0.08215945959091187,94.71270751953125,28.273059844970703,22.160755157470703,37.32853317260742,1.3202862739562988,0.6986082196235657,45.68455505371094,10.743318557739258,10.592020988464355,8.28346061706543,0.7710337042808533
