target_index,target_concept,count,embedding_cosine_mean,embedding_cosine_min,embedding_cosine_max,embedding_cosine_std,embedding_angle_degrees_mean,embedding_angle_degrees_min,embedding_angle_degrees_max,embedding_angle_degrees_std,residual_norm_mean,residual_norm_min,residual_norm_max,residual_norm_std,relative_embedding_residual_norm_mean,relative_embedding_residual_norm_min,relative_embedding_residual_norm_max,relative_embedding_residual_norm_std,output_cosine_mean,output_cosine_min,output_cosine_max,output_cosine_std,output_angle_degrees_mean,output_angle_degrees_min,output_angle_degrees_max,output_angle_degrees_std,output_residual_norm_mean,output_residual_norm_min,output_residual_norm_max,output_residual_norm_std,relative_output_residual_norm_mean,relative_output_residual_norm_min,relative_output_residual_norm_max,relative_output_residual_norm_std
10,Arnold Schwarzenegger,16,0.08346748352050781,0.08346748352050781,0.08346748352050781,0.0,85.21209716796875,85.21209716796875,85.21209716796875,0.0,36.66958236694336,36.66958236694336,36.66958236694336,0.0,1.272337794303894,1.272337794303894,1.272337794303894,0.0,0.28703003958798945,-0.1489454209804535,0.760948896408081,0.3186755976225359,72.10883617401123,40.45207977294922,98.5658187866211,20.048152275359115,29.58435833454132,8.262941360473633,57.70423126220703,17.34735218982072,1.107168074697256,0.6618442535400391,1.4370406866073608,0.27104590253423033
11,Barack Obama,16,-0.0002225170173915103,-0.0002225170173915103,-0.0002225170173915103,0.0,90.01274871826172,90.01274871826172,90.01274871826172,0.0,36.965572357177734,36.965572357177734,36.965572357177734,0.0,1.3022446632385254,1.3022446632385254,1.3022446632385254,0.0,0.20243506715632975,-0.22377106547355652,0.7412965893745422,0.33092298621694355,77.31069111824036,42.158016204833984,102.93062591552734,20.529842115195983,33.320933640003204,8.940296173095703,63.31682205200195,18.87260016878698,1.0896232761442661,0.676456868648529,1.3801697492599487,0.2392627129580754
12,Beth Behrs,16,0.030796948820352554,0.030796948820352554,0.030796948820352554,0.0,88.23518371582031,88.23518371582031,88.23518371582031,0.0,36.46849822998047,36.46849822998047,36.46849822998047,0.0,1.3268284797668457,1.3268284797668457,1.3268284797668457,0.0,0.23686732156784274,-0.15018445253372192,0.675299346446991,0.28434422274836374,75.59931349754333,47.52259826660156,98.63761901855469,17.29742855309876,29.58671671152115,8.609367370605469,54.779571533203125,16.387143593007867,1.1464854925870895,0.7808182835578918,1.4637670516967773,0.23792930492642894
13,Bill Clinton,16,0.08962774276733398,0.08962774276733398,0.08962774276733398,0.0,84.85780334472656,84.85780334472656,84.85780334472656,0.0,36.64746856689453,36.64746856689453,36.64746856689453,0.0,1.2627021074295044,1.2627021074295044,1.2627021074295044,0.0,0.29116438305936754,-0.05510038509964943,0.7806195020675659,0.3112737320841689,71.7153868675232,38.68267059326172,93.15861511230469,20.077681008861642,29.996296763420105,6.8675537109375,56.04637908935547,17.34988336437436,1.1127890385687351,0.6363808512687683,1.4091473817825317,0.2799014534153116
14,Bob Dylan,16,0.01362526323646307,0.01362526323646307,0.01362526323646307,0.0,89.21930694580078,89.21930694580078,89.21930694580078,0.0,36.67081832885742,36.67081832885742,36.67081832885742,0.0,1.26430082321167,1.26430082321167,1.26430082321167,0.0,0.303011694108136,-0.17524407804012299,0.7798724174499512,0.34712435194326496,70.80055856704712,38.75110626220703,100.09286499023438,22.15254546470584,28.227736622095108,6.690532207489014,56.178401947021484,16.9247208171163,1.0598942637443542,0.6476558446884155,1.3769181966781616,0.26824025908437
15,Bob Marley,16,0.006284983828663826,0.006284983828663826,0.006284983828663826,0.0,89.639892578125,89.639892578125,89.639892578125,0.0,37.421329498291016,37.421329498291016,37.421329498291016,0.0,1.2849942445755005,1.2849942445755005,1.2849942445755005,0.0,0.23254498798632994,-0.13522841036319733,0.7088018655776978,0.30297293957738114,75.66251730918884,44.86248779296875,97.7718276977539,18.727195269075843,30.216515362262726,8.824283599853516,56.79029083251953,16.99315466816923,1.1335037089884281,0.8038098812103271,1.361441731452942,0.20110585689599694
16,Bradley Cooper,16,0.024942990392446518,0.024942990392446518,0.024942990392446518,0.0,88.57072448730469,88.57072448730469,88.57072448730469,0.0,35.38436508178711,35.38436508178711,35.38436508178711,0.0,1.2542675733566284,1.2542675733566284,1.2542675733566284,0.0,0.2173629110911861,-0.25602585077285767,0.7277671694755554,0.3388820220598712,76.49829387664795,43.30046463012695,104.83438110351562,20.751024471905872,28.879290163517,8.302477836608887,55.94216537475586,16.452108784711708,1.0995802730321884,0.686181366443634,1.4431581497192383,0.25805066569560015
17,Bruce Willis,16,0.07240448892116547,0.07240448892116547,0.07240448892116547,0.0,85.847900390625,85.847900390625,85.847900390625,0.0,36.4444580078125,36.4444580078125,36.4444580078125,0.0,1.2842702865600586,1.2842702865600586,1.2842702865600586,0.0,0.256420249119401,-0.1954263597726822,0.7265076637268066,0.3139688438026728,74.1434338092804,43.40559005737305,101.2696304321289,19.45696608677515,30.219338417053223,8.217595100402832,58.77595520019531,17.327941399552344,1.1508985050022602,0.7168607711791992,1.5038245916366577,0.27177895041956457
18,Bryan Cranston,16,0.007258323486894369,0.007258323486894369,0.007258323486894369,0.0,89.5841293334961,89.5841293334961,89.5841293334961,0.0,36.21768569946289,36.21768569946289,36.21768569946289,0.0,1.2808659076690674,1.2808659076690674,1.2808659076690674,0.0,0.22184635559096932,-0.20648229122161865,0.7138221859931946,0.32803145060759487,76.23039102554321,44.453243255615234,101.9162826538086,20.16980650444834,29.134835064411163,8.171143531799316,54.9758186340332,16.25617995859403,1.1241738051176071,0.7004302740097046,1.4890120029449463,0.27038859842032104
19,Cameron Diaz,16,0.08736877143383026,0.08736877143383026,0.08736877143383026,0.0,84.98775482177734,84.98775482177734,84.98775482177734,0.0,35.462562561035156,35.462562561035156,35.462562561035156,0.0,1.273242712020874,1.273242712020874,1.273242712020874,0.0,0.3058722820132971,-0.17739243805408478,0.7667682766914368,0.32964782550376837,70.76539921760559,39.9354362487793,100.21791076660156,21.00713436335977,28.38285180926323,6.797053813934326,57.00405502319336,17.061399375819715,1.0747882910072803,0.6537296772003174,1.4383960962295532,0.2761925770225588
20,Channing Tatum,16,-0.1313060224056244,-0.1313060224056244,-0.1313060224056244,0.0,97.5450668334961,97.5450668334961,97.5450668334961,0.0,38.04460525512695,38.04460525512695,38.04460525512695,0.0,1.3285484313964844,1.3285484313964844,1.3285484313964844,0.0,0.14940059836953878,-0.3712382912635803,0.6938889622688293,0.39563863320991244,80.47177386283875,46.06125259399414,111.79200744628906,24.151536482317955,29.706497728824615,7.652451515197754,57.26390075683594,17.440162591013788,1.151686992496252,0.7478674650192261,1.4767054319381714,0.2645132634156387
21,Charlie Sheen,16,-0.10003101825714111,-0.10003101825714111,-0.10003101825714111,0.0,95.74095153808594,95.74095153808594,95.74095153808594,0.0,36.98172378540039,36.98172378540039,36.98172378540039,0.0,1.3437399864196777,1.3437399864196777,1.3437399864196777,0.0,0.17995366267859936,-0.31428056955337524,0.7230172753334045,0.36840805566567336,78.65822172164917,43.69584274291992,108.31739044189453,22.54282737646035,29.66069746017456,7.245563507080078,58.06724548339844,17.609407536827558,1.1613712944090366,0.7400645613670349,1.4203319549560547,0.24198994075350225
22,Charlize Theron,16,0.08085896819829941,0.08085896819829941,0.08085896819829941,0.0,85.362060546875,85.362060546875,85.362060546875,0.0,34.57481384277344,34.57481384277344,34.57481384277344,0.0,1.2534995079040527,1.2534995079040527,1.2534995079040527,0.0,0.31667063757777214,0.03911103680729866,0.6563012003898621,0.2128800630188074,70.98068571090698,48.98161315917969,87.75853729248047,13.236168126567225,26.10583585500717,8.190282821655273,46.82405471801758,14.127116468234519,1.0615075416862965,0.8075029253959656,1.24301016330719,0.14195951856811528
23,Chris Evans,16,-0.002215444343164563,-0.002215444343164563,-0.002215444343164563,0.0,90.12693786621094,90.12693786621094,90.12693786621094,0.0,37.81930160522461,37.81930160522461,37.81930160522461,0.0,1.336120367050171,1.336120367050171,1.336120367050171,0.0,0.2098557426361367,-0.18579216301441193,0.6680422425270081,0.307717961128998,77.1188395023346,48.08385467529297,100.70732116699219,18.753263817392362,31.189798891544342,8.91530990600586,60.80982208251953,17.959828534208476,1.1621550880372524,0.8320222496986389,1.4411444664001465,0.2099520937422456
24,Chris Hemsworth,16,0.05884624272584915,0.05884624272584915,0.05884624272584915,0.0,86.62641143798828,86.62641143798828,86.62641143798828,0.0,37.335693359375,37.335693359375,37.335693359375,0.0,1.3166286945343018,1.3166286945343018,1.3166286945343018,0.0,0.2969745219015749,-0.15333059430122375,0.7235008478164673,0.29445585307611755,71.74151372909546,43.65571975708008,98.81999206542969,18.321113426831616,29.407646417617798,8.470039367675781,57.762840270996094,16.67136294221097,1.1197331100702286,0.7166825532913208,1.4957996606826782,0.2614188406553761
25,Chris Pine,16,0.07136806100606918,0.07136806100606918,0.07136806100606918,0.0,85.90743255615234,85.90743255615234,85.90743255615234,0.0,34.884986877441406,34.884986877441406,34.884986877441406,0.0,1.2410029172897339,1.2410029172897339,1.2410029172897339,0.0,0.29702803323743865,-0.14974723756313324,0.7584128379821777,0.322523322401804,71.44524002075195,40.6755256652832,98.61227416992188,20.35650717314744,28.108321964740753,7.474547386169434,54.58725357055664,16.467041945247196,1.0718140862882137,0.6837284564971924,1.3695443868637085,0.25168707047015787
26,Chuck Norris,16,0.020945081487298012,0.020945081487298012,0.020945081487298012,0.0,88.79985046386719,88.79985046386719,88.79985046386719,0.0,37.781341552734375,37.781341552734375,37.781341552734375,0.0,1.3163093328475952,1.3163093328475952,1.3163093328475952,0.0,0.24024846812244505,-0.17458271980285645,0.6540096998214722,0.29150775867331485,75.35135078430176,49.1553955078125,100.05437469482422,17.763984913245057,30.80862259864807,9.288923263549805,61.49663543701172,17.69185392563858,1.171651653945446,0.802115261554718,1.509647250175476,0.24166707056530679
27,Courteney Cox,16,-0.01857098378241062,-0.01857098378241062,-0.01857098378241062,0.0,91.06410217285156,91.06410217285156,91.06410217285156,0.0,35.6793327331543,35.6793327331543,35.6793327331543,0.0,1.2822238206863403,1.2822238206863403,1.2822238206863403,0.0,0.2542220091272611,-0.18831895291805267,0.7569130063056946,0.3399429791302289,74.0155017375946,40.807193756103516,100.85469818115234,21.335478375985634,28.257210463285446,6.897277355194092,53.68393325805664,16.57123968249069,1.1003927737474442,0.6928163766860962,1.3960487842559814,0.23253592281516294
28,Demi Lovato,16,0.10442433506250381,0.10442433506250381,0.10442433506250381,0.0,84.00599670410156,84.00599670410156,84.00599670410156,0.0,37.97147750854492,37.97147750854492,37.97147750854492,0.0,1.267517328262329,1.267517328262329,1.267517328262329,0.0,0.38498955708928406,0.028553973883390427,0.7988001108169556,0.27330923828103904,66.02601170539856,36.98432540893555,88.36375427246094,17.995933712610345,27.38706412911415,7.565062522888184,51.384544372558594,15.926172318098592,1.0394097901880741,0.6364490985870361,1.364281415939331,0.25080448570319597
29,Drake,16,-0.056602440774440765,-0.056602440774440765,-0.056602440774440765,0.0,93.24481201171875,93.24481201171875,93.24481201171875,0.0,37.06766128540039,37.06766128540039,37.06766128540039,0.0,1.2877520322799683,1.2877520322799683,1.2877520322799683,0.0,0.21702197333797812,-0.27124908566474915,0.7231883406639099,0.3571579210519995,76.39402341842651,43.6816520690918,105.73860931396484,21.938049790074352,30.563900530338287,8.926643371582031,60.89143371582031,18.033297791807506,1.0789188407361507,0.6909493207931519,1.3558470010757446,0.24220431532874548
30,Drew Barrymore,16,0.04361112415790558,0.04361112415790558,0.04361112415790558,0.0,87.50047302246094,87.50047302246094,87.50047302246094,0.0,34.834503173828125,34.834503173828125,34.834503173828125,0.0,1.250434160232544,1.250434160232544,1.250434160232544,0.0,0.30439673986984417,-0.18926486372947693,0.7955181002616882,0.3503945915907077,70.6480405330658,37.295780181884766,100.90988159179688,22.454067219916837,27.566367655992508,6.386078357696533,54.73046112060547,16.615157715460995,1.0315614379942417,0.6133715510368347,1.353137731552124,0.2603488993367191
31,Dwayne Johnson,16,0.005020421929657459,0.005020421929657459,0.005020421929657459,0.0,89.71234893798828,89.71234893798828,89.71234893798828,0.0,36.867862701416016,36.867862701416016,36.867862701416016,0.0,1.3000415563583374,1.3000415563583374,1.3000415563583374,0.0,0.2684623006498441,-0.1172708198428154,0.7335217595100403,0.3132639757208896,73.31361508369446,42.81754684448242,96.734619140625,19.63495828195376,29.845804393291473,7.979767799377441,59.59000015258789,17.726733106533104,1.0966148376464844,0.6895483136177063,1.3865492343902588,0.25856402228734254
32,Ed Sheeran,16,-0.006464293226599693,-0.006464293226599693,-0.006464293226599693,0.0,90.37037658691406,90.37037658691406,90.37037658691406,0.0,37.18253707885742,37.18253707885742,37.18253707885742,0.0,1.2882416248321533,1.2882416248321533,1.2882416248321533,0.0,0.28321712099568686,-0.19009330868721008,0.7750781774520874,0.33542283217795077,72.09996962547302,39.1878776550293,100.9582290649414,21.455314224432815,27.801726043224335,6.617515563964844,54.69034957885742,16.23816373497046,1.0910991430282593,0.6486740708351135,1.4125738143920898,0.26882702576766787
