label,Adam Driver,Adriana Lima,Amber Heard,Amy Adams,Andrew Garfield,Angelina Jolie,Anjelica Huston,Anna Faris,Anna Kendrick,Anne Hathaway,Arnold Schwarzenegger,Barack Obama,Beth Behrs,Bill Clinton,Bob Dylan,Bob Marley,Bradley Cooper,Bruce Willis,Bryan Cranston,Cameron Diaz,Channing Tatum,Charlie Sheen,Charlize Theron,Chris Evans,Chris Hemsworth,Chris Pine,Chuck Norris,Courteney Cox,Demi Lovato,Drake,Drew Barrymore,Dwayne Johnson,Ed Sheeran,Elon Musk,Elvis Presley,Emma Stone,Frida Kahlo,George Clooney,Glenn Close,Gwyneth Paltrow,Harrison Ford,Hillary Clinton,Hugh Jackman,Idris Elba,Jake Gyllenhaal,James Franco,Jared Leto,Jason Momoa,Jennifer Aniston,Jennifer Lawrence,person,<empty>
Arnold Schwarzenegger,0.7984923124313354,0.7201968431472778,0.7527027130126953,0.7797012329101562,0.8450173139572144,0.8160442113876343,0.7383167743682861,0.7025375962257385,0.7145313024520874,0.8132070302963257,0.9999998807907104,0.8374660611152649,0.7625889778137207,0.805630087852478,0.8111910223960876,0.7933228015899658,0.8419582843780518,0.8124000430107117,0.7966545820236206,0.8169163465499878,0.8115302324295044,0.7155839204788208,0.4995355010032654,0.7825807332992554,0.8087526559829712,0.8313100934028625,0.8223446011543274,0.7126637697219849,0.8174695372581482,0.7481875419616699,0.7628288269042969,0.8154634833335876,0.7875138521194458,0.7981334328651428,0.7525333762168884,0.7541009187698364,0.71775221824646,0.8549060821533203,0.7914485931396484,0.7926722168922424,0.802718460559845,0.816706657409668,0.8557022213935852,0.801556408405304,0.6867174506187439,0.8436102867126465,0.8171734809875488,0.8150347471237183,0.8021891117095947,0.8283426761627197,0.7923686504364014,-0.23932842910289764
Barack Obama,0.8017115592956543,0.7376861572265625,0.751521110534668,0.7768073081970215,0.7696093916893005,0.8125506639480591,0.7563347816467285,0.6986991763114929,0.7686311602592468,0.7237126231193542,0.8374660611152649,1.0,0.6650866866111755,0.7989852428436279,0.7824245095252991,0.7365370392799377,0.7782235741615295,0.7161468267440796,0.7604244947433472,0.7805339694023132,0.8026498556137085,0.7549914717674255,0.5951254367828369,0.7198972105979919,0.7149495482444763,0.8024836778640747,0.729735255241394,0.7098261713981628,0.8536095023155212,0.8097379207611084,0.7538954615592957,0.7912560105323792,0.8315595388412476,0.808026909828186,0.7666957974433899,0.7502492070198059,0.7279415130615234,0.8519829511642456,0.7348839640617371,0.6950857639312744,0.7483086585998535,0.8441541790962219,0.8176680207252502,0.8125311136245728,0.7822641134262085,0.8118176460266113,0.8373585343360901,0.8196010589599609,0.7538057565689087,0.7382063865661621,0.7827340364456177,-0.2526499629020691
Beth Behrs,0.7437260150909424,0.6157207489013672,0.7298291921615601,0.7336084842681885,0.7697058916091919,0.7148554921150208,0.733281135559082,0.755807638168335,0.7132193446159363,0.8168536424636841,0.7625889778137207,0.6650866866111755,1.0,0.7289179563522339,0.7084667682647705,0.691480278968811,0.7918277978897095,0.7976834774017334,0.8240112066268921,0.7898619771003723,0.7187095880508423,0.7038514614105225,0.5392084121704102,0.7275004386901855,0.7460499405860901,0.7907956838607788,0.772236168384552,0.7784831523895264,0.7181723117828369,0.6543083786964417,0.7658872604370117,0.7619756460189819,0.7096653580665588,0.6680080890655518,0.7026064395904541,0.8002415299415588,0.677140474319458,0.7909045815467834,0.7635707855224609,0.8295941352844238,0.7311738133430481,0.6730262041091919,0.7170298099517822,0.7733067274093628,0.6331297755241394,0.7615537643432617,0.7108057737350464,0.7203113436698914,0.8316386342048645,0.7642001509666443,0.6769887208938599,-0.2933243215084076
Bill Clinton,0.7906464338302612,0.5999662280082703,0.6989538669586182,0.7190239429473877,0.8020758628845215,0.7340476512908936,0.6545295119285583,0.687780499458313,0.6675870418548584,0.7386500239372253,0.805630087852478,0.7989852428436279,0.7289179563522339,1.0,0.7441139817237854,0.74253249168396,0.7886636853218079,0.8012540340423584,0.7811212539672852,0.7807350754737854,0.7771025896072388,0.6751577854156494,0.4334905445575714,0.7742521166801453,0.8203617334365845,0.7725909352302551,0.771994411945343,0.6850299835205078,0.818105936050415,0.7841347455978394,0.7503745555877686,0.7759908437728882,0.7080199122428894,0.79888916015625,0.7836766242980957,0.7060362696647644,0.6874825358390808,0.8315544128417969,0.7329956293106079,0.7192650437355042,0.8008182048797607,0.8300162553787231,0.7787463068962097,0.7266297340393066,0.6536226272583008,0.8117294311523438,0.791054904460907,0.7944404482841492,0.7765345573425293,0.7728230953216553,0.7450081706047058,-0.1954420655965805
Bob Dylan,0.7479808926582336,0.6619715690612793,0.6987529993057251,0.7249850034713745,0.7749783992767334,0.7509867548942566,0.6861168146133423,0.6902666091918945,0.6981756687164307,0.7281832695007324,0.8111910223960876,0.7824245095252991,0.7084667682647705,0.7441139817237854,0.9999999403953552,0.8260961771011353,0.7977596521377563,0.7590324878692627,0.7338924407958984,0.7702776193618774,0.7521489262580872,0.7055609822273254,0.4671376347541809,0.737234354019165,0.7308059930801392,0.8085708618164062,0.7384035587310791,0.6446528434753418,0.7802859544754028,0.7928822636604309,0.7232613563537598,0.7664263248443604,0.779086709022522,0.749332070350647,0.7437516450881958,0.7188758254051208,0.7188858985900879,0.7979347705841064,0.7353439927101135,0.7201783061027527,0.7576648592948914,0.7266970872879028,0.7743252515792847,0.778512716293335,0.6333022117614746,0.8069869875907898,0.7803593277931213,0.7568182945251465,0.7446986436843872,0.7747028470039368,0.7518762946128845,-0.19368179142475128
Bob Marley,0.7275840640068054,0.6072812080383301,0.6452436447143555,0.6936421990394592,0.7423917055130005,0.6879277229309082,0.6499136090278625,0.6414679884910583,0.6257035732269287,0.7286980152130127,0.7933228015899658,0.7365370392799377,0.691480278968811,0.74253249168396,0.8260961771011353,0.9999999403953552,0.7816454768180847,0.7414205074310303,0.7263717651367188,0.7131369709968567,0.7039963006973267,0.6175056099891663,0.4261109530925751,0.7093337774276733,0.7465628385543823,0.75881427526474,0.7159185409545898,0.6481063365936279,0.793732762336731,0.7325451374053955,0.6938878297805786,0.7523811459541321,0.736007809638977,0.7108945250511169,0.7254026532173157,0.6859071850776672,0.7245004177093506,0.7378647327423096,0.7043869495391846,0.7029787302017212,0.7419345378875732,0.7078789472579956,0.7641768455505371,0.7491220831871033,0.5853147506713867,0.7418243885040283,0.8081696629524231,0.7471734285354614,0.7460880279541016,0.7962173819541931,0.7187442779541016,-0.21197080612182617
Bradley Cooper,0.8379775285720825,0.6683945655822754,0.7193847894668579,0.7650986313819885,0.8796427249908447,0.7620063424110413,0.7216429710388184,0.7239714860916138,0.6947653293609619,0.8071050047874451,0.8419582843780518,0.7782235741615295,0.7918277978897095,0.7886636853218079,0.7977596521377563,0.7816454768180847,1.0,0.8445686101913452,0.8355726599693298,0.8216326832771301,0.8139171004295349,0.7032079100608826,0.5273316502571106,0.7851385474205017,0.8188289999961853,0.8794713020324707,0.7805473804473877,0.7542973160743713,0.8079860210418701,0.7673450112342834,0.77666175365448,0.843214750289917,0.7666425704956055,0.763819694519043,0.759987473487854,0.7704978585243225,0.730586051940918,0.8599822521209717,0.817996621131897,0.8152843713760376,0.862770676612854,0.7851517200469971,0.8242454528808594,0.820046603679657,0.6789751648902893,0.8662362694740295,0.8176673650741577,0.7944328188896179,0.8190557956695557,0.8484089374542236,0.7364546060562134,-0.24747437238693237
Bruce Willis,0.8049260377883911,0.6070034503936768,0.7063082456588745,0.7592820525169373,0.8230177760124207,0.7417692542076111,0.7316845655441284,0.743228554725647,0.7060171365737915,0.8142927885055542,0.8124000430107117,0.7161468267440796,0.7976834774017334,0.8012540340423584,0.7590324878692627,0.7414205074310303,0.8445686101913452,1.0,0.8282078504562378,0.7675224542617798,0.8222679495811462,0.6839437484741211,0.5041758418083191,0.7875356674194336,0.8247576355934143,0.8135027885437012,0.8465192317962646,0.7092679738998413,0.7694725394248962,0.7161449193954468,0.7955234050750732,0.847254753112793,0.7300661206245422,0.7464618682861328,0.7562126517295837,0.7974364757537842,0.7221726179122925,0.836032509803772,0.8396267294883728,0.7859659194946289,0.8254255056381226,0.7403273582458496,0.8119890689849854,0.8124509453773499,0.6610511541366577,0.799972414970398,0.7815235257148743,0.7413521409034729,0.8391521573066711,0.7759304046630859,0.7004833221435547,-0.23826220631599426
Bryan Cranston,0.7819530963897705,0.6017488241195679,0.7210732698440552,0.7445387244224548,0.8239305019378662,0.7055947780609131,0.7259407639503479,0.7595717906951904,0.7184343934059143,0.7941188812255859,0.7966545820236206,0.7604244947433472,0.8240112066268921,0.7811212539672852,0.7338924407958984,0.7263717651367188,0.8355726599693298,0.8282078504562378,1.0,0.7353825569152832,0.7767431735992432,0.7164713144302368,0.5640631914138794,0.769627034664154,0.8194066286087036,0.8440121412277222,0.7996503710746765,0.7267264723777771,0.7859567403793335,0.6532140374183655,0.7788411974906921,0.777910590171814,0.793850839138031,0.7579222917556763,0.747766375541687,0.7972609996795654,0.7337135076522827,0.8228464126586914,0.7747728824615479,0.8136059045791626,0.8081361651420593,0.752698540687561,0.7921198606491089,0.8140000104904175,0.7043114304542542,0.7973822951316833,0.7459021806716919,0.7679221630096436,0.848016619682312,0.7771639823913574,0.6772293448448181,-0.2826540172100067
Cameron Diaz,0.7777364253997803,0.7826763391494751,0.8255774974822998,0.8021341562271118,0.8243532180786133,0.8561779260635376,0.8114233016967773,0.7629762887954712,0.7522127032279968,0.7944803237915039,0.8169163465499878,0.7805339694023132,0.7898619771003723,0.7807350754737854,0.7702776193618774,0.7131369709968567,0.8216326832771301,0.7675224542617798,0.7353825569152832,0.9999998211860657,0.8009275197982788,0.7502257823944092,0.6559914946556091,0.7292408347129822,0.7403343915939331,0.8414472341537476,0.7397351264953613,0.8056265115737915,0.8130158185958862,0.7401599884033203,0.839821994304657,0.7927160859107971,0.7747421860694885,0.7412850856781006,0.7562046051025391,0.7956799268722534,0.730181097984314,0.8524366617202759,0.7977740168571472,0.8061491847038269,0.7669224739074707,0.783093273639679,0.7682490348815918,0.806252658367157,0.7192503809928894,0.8156229257583618,0.8116698265075684,0.8375797271728516,0.8023651242256165,0.8040019869804382,0.7375494241714478,-0.2506117522716522
