space_index,space_name,pair_type,left_index,left_label,right_index,right_label,cosine,angle_degrees
-1,embedding,target_target,1,Adriana Lima,43,Idris Elba,0.21359342336654663,77.66698037574687
-1,embedding,target_target,1,Adriana Lima,44,Jake Gyllenhaal,0.19841548800468445,78.55568363916015
-1,embedding,target_target,1,Adriana Lima,45,James Franco,0.24788609147071838,75.64754284668714
-1,embedding,target_target,1,Adriana Lima,46,Jared Leto,0.29151448607444763,73.05135213301355
-1,embedding,target_target,1,Adriana Lima,47,Jason Momoa,0.28965312242507935,73.16280988853924
-1,embedding,target_target,1,Adriana Lima,48,Jennifer Aniston,0.29077523946762085,73.09562582655795
-1,embedding,target_target,1,Adriana Lima,49,Jennifer Lawrence,0.26829993724823,74.43687177419545
-1,embedding,target_person,1,Adriana Lima,50,person,0.11500415205955505,83.39613546685844
-1,embedding,target_empty,1,Adriana Lima,51,<empty>,0.04636906087398529,87.34229554723328
-1,embedding,target_target,2,Amber Heard,3,Amy Adams,0.39553171396255493,66.70086017656662
-1,embedding,target_target,2,Amber Heard,4,Andrew Garfield,0.30931663513183594,71.98194741367391
-1,embedding,target_target,2,Amber Heard,5,Angelina Jolie,0.38162466883659363,67.56564525106603
-1,embedding,target_target,2,Amber Heard,6,Anjelica Huston,0.33283287286758423,70.55919017236222
-1,embedding,target_target,2,Amber Heard,7,Anna Faris,0.1873922199010849,79.1993639037811
-1,embedding,target_target,2,Amber Heard,8,Anna Kendrick,0.34709903597831726,69.69001849985702
-1,embedding,target_target,2,Amber Heard,9,Anne Hathaway,0.34286004304885864,69.94878054288304
-1,embedding,target_target,2,Amber Heard,10,Arnold Schwarzenegger,0.3156718909740448,71.59862000459653
-1,embedding,target_target,2,Amber Heard,11,Barack Obama,0.1656099259853363,80.4673318674787
-1,embedding,target_target,2,Amber Heard,12,Beth Behrs,0.28359097242355347,73.52535737099466
-1,embedding,target_target,2,Amber Heard,13,Bill Clinton,0.2446453869342804,75.83912182581484
-1,embedding,target_target,2,Amber Heard,14,Bob Dylan,0.2808820605278015,73.68714411849848
-1,embedding,target_target,2,Amber Heard,15,Bob Marley,0.25815635919570923,75.03930490132683
-1,embedding,target_target,2,Amber Heard,16,Bradley Cooper,0.23156505823135376,76.61076920965192
-1,embedding,target_target,2,Amber Heard,17,Bruce Willis,0.2421819269657135,75.98464468370483
-1,embedding,target_target,2,Amber Heard,18,Bryan Cranston,0.25768887996673584,75.06702746543293
-1,embedding,target_target,2,Amber Heard,19,Cameron Diaz,0.364572674036026,68.6187132948973
-1,embedding,target_target,2,Amber Heard,20,Channing Tatum,0.22385573387145996,77.0643996714352
-1,embedding,target_target,2,Amber Heard,21,Charlie Sheen,0.23714086413383484,76.28214693794622
-1,embedding,target_target,2,Amber Heard,22,Charlize Theron,0.24756647646427155,75.66644460434712
-1,embedding,target_target,2,Amber Heard,23,Chris Evans,0.24148979783058167,76.02551387620574
-1,embedding,target_target,2,Amber Heard,24,Chris Hemsworth,0.38631999492645264,67.27428836336186
-1,embedding,target_target,2,Amber Heard,25,Chris Pine,0.34106430411338806,70.05826950958709
-1,embedding,target_target,2,Amber Heard,26,Chuck Norris,0.23847906291484833,76.20320919906518
-1,embedding,target_target,2,Amber Heard,27,Courteney Cox,0.2524426579475403,75.37789669311096
-1,embedding,target_target,2,Amber Heard,28,Demi Lovato,0.26269862055778503,74.76975081063374
-1,embedding,target_target,2,Amber Heard,29,Drake,0.14392343163490295,81.72505752581104
-1,embedding,target_target,2,Amber Heard,30,Drew Barrymore,0.3563425540924072,69.12425112806055
-1,embedding,target_target,2,Amber Heard,31,Dwayne Johnson,0.21081411838531494,77.82993408144064
-1,embedding,target_target,2,Amber Heard,32,Ed Sheeran,0.204344242811203,78.20888565292843
-1,embedding,target_target,2,Amber Heard,33,Elon Musk,0.3377048969268799,70.26289446744904
-1,embedding,target_target,2,Amber Heard,34,Elvis Presley,0.27499690651893616,74.03817018828056
-1,embedding,target_target,2,Amber Heard,35,Emma Stone,0.33559417724609375,70.39132640172298
-1,embedding,target_target,2,Amber Heard,36,Frida Kahlo,0.25614774227142334,75.15839508810606
-1,embedding,target_target,2,Amber Heard,37,George Clooney,0.3209080100059509,71.28215363638917
-1,embedding,target_target,2,Amber Heard,38,Glenn Close,0.266501247882843,74.54382370825442
-1,embedding,target_target,2,Amber Heard,39,Gwyneth Paltrow,0.38988861441612244,67.05243115620111
-1,embedding,target_target,2,Amber Heard,40,Harrison Ford,0.22699014842510223,76.88006629986558
-1,embedding,target_target,2,Amber Heard,41,Hillary Clinton,0.26049619913101196,74.90049312572779
-1,embedding,target_target,2,Amber Heard,42,Hugh Jackman,0.2653430104255676,74.61266447651516
-1,embedding,target_target,2,Amber Heard,43,Idris Elba,0.2899932563304901,73.14244771065982
-1,embedding,target_target,2,Amber Heard,44,Jake Gyllenhaal,0.24748532474040985,75.67124359405871
-1,embedding,target_target,2,Amber Heard,45,James Franco,0.3112100064754486,71.86783376961965
-1,embedding,target_target,2,Amber Heard,46,Jared Leto,0.29140251874923706,73.05805855787008
-1,embedding,target_target,2,Amber Heard,47,Jason Momoa,0.30050423741340637,72.51210870000628
-1,embedding,target_target,2,Amber Heard,48,Jennifer Aniston,0.3018340468406677,72.43220642017071
